broken_ref;fixed_ref
https://redis.io/docs/stack/search/configuring/#cursor_max_idle;https://redis.io/docs/interact/search-and-query/basic-constructs/configuration-parameters/
https://redis.io/docs/stack/search/configuring/#default_dialect;https://redis.io/docs/interact/search-and-query/basic-constructs/configuration-parameters/
https://redis.io/docs/stack/search/configuring/#extload;https://redis.io/docs/interact/search-and-query/basic-constructs/configuration-parameters/
https://redis.io/docs/stack/search/configuring/#fork_gc_clean_threshold;https://redis.io/docs/interact/search-and-query/basic-constructs/configuration-parameters/
https://redis.io/docs/stack/search/configuring/#fork_gc_retry_interval;https://redis.io/docs/interact/search-and-query/basic-constructs/configuration-parameters/
https://redis.io/docs/stack/search/configuring/#fork_gc_run_interval;https://redis.io/docs/interact/search-and-query/basic-constructs/configuration-parameters/
https://redis.io/docs/stack/search/configuring/#frisoini;https://redis.io/docs/interact/search-and-query/basic-constructs/configuration-parameters/
https://redis.io/docs/stack/search/configuring/#gc_policy;https://redis.io/docs/interact/search-and-query/basic-constructs/configuration-parameters/
https://redis.io/docs/stack/search/configuring/#gc_scansize;https://redis.io/docs/interact/search-and-query/basic-constructs/configuration-parameters/
https://redis.io/docs/stack/search/configuring/#maxaggregateresults;https://redis.io/docs/interact/search-and-query/basic-constructs/configuration-parameters/
https://redis.io/docs/stack/search/configuring/#maxdoctablesize;https://redis.io/docs/interact/search-and-query/basic-constructs/configuration-parameters/
https://redis.io/docs/stack/search/configuring/#maxprefixexpansions;https://redis.io/docs/interact/search-and-query/basic-constructs/configuration-parameters/
https://redis.io/docs/stack/search/configuring/#maxsearchresults;https://redis.io/docs/interact/search-and-query/basic-constructs/configuration-parameters/
https://redis.io/docs/stack/search/configuring/#minprefix;https://redis.io/docs/interact/search-and-query/basic-constructs/configuration-parameters/
https://redis.io/docs/stack/search/configuring/#nogc;https://redis.io/docs/interact/search-and-query/basic-constructs/configuration-parameters/
https://redis.io/docs/stack/search/configuring/#on_timeout;https://redis.io/docs/interact/search-and-query/basic-constructs/configuration-parameters/
https://redis.io/docs/stack/search/configuring/#oss_global_password;https://redis.io/docs/interact/search-and-query/basic-constructs/configuration-parameters/
https://redis.io/docs/stack/search/configuring/#partial_indexed_docs;https://redis.io/docs/interact/search-and-query/basic-constructs/configuration-parameters/
https://redis.io/docs/stack/search/configuring/#timeout;https://redis.io/docs/interact/search-and-query/basic-constructs/configuration-parameters/
https://redis.io/docs/stack/search/configuring/#upgrade_index;https://redis.io/docs/interact/search-and-query/basic-constructs/configuration-parameters/
https://redis.io/docs/stack/search/reference/synonyms/;https://redis.io/docs/interact/search-and-query/advanced-concepts/synonyms/
https://redis.io/docs/stack/search/reference/query_syntax/#fuzzy-matching;https://redis.io/docs/interact/search-and-query/advanced-concepts/query_syntax/
https://redis.io/docs/stack/search/design/overview/#auto-completion;https://redis.io/docs/interact/search-and-query/administration/overview/
https://redis.io/docs/stack/search/reference/query_syntax/;https://redis.io/docs/interact/search-and-query/advanced-concepts/query_syntax/
https://redis.io/docs/stack/search/reference/query_syntax/#numeric-filters-in-query;https://redis.io/docs/interact/search-and-query/advanced-concepts/query_syntax/
https://redis.io/docs/stack/search/reference/query_syntax/#geo-filters-in-query;https://redis.io/docs/interact/search-and-query/advanced-concepts/query_syntax/
https://redis.io/docs/manual/data-types/#hashes;https://redis.io/docs/data-types/
https://redis.io/docs/manual/data-types/#hashes;https://redis.io/docs/data-types/
https://redis.io/docs/stack/search/indexing_json/;https://redis.io/docs/interact/search-and-query/indexing/
https://redis.io/docs/stack/search/reference/stemming#supported-languages;https://redis.io/docs/interact/search-and-query/advanced-concepts/stemming/
https://redis.io/docs/stack/search/quick_start/;https://redis.io/docs/get-started/document-database/
https://redis.io/docs/stack/search/reference/;https://redis.io/docs/interact/search-and-query/advanced-concepts/
https://redis.io/docs/stack/json/path;https://redis.io/docs/data-types/json/path/
https://redis.io/docs/stack/json/path/#jsonpath-support;https://redis.io/docs/data-types/json/path/
https://redis.io/docs/stack/json/path/#jsonpath-syntax;https://redis.io/docs/data-types/json/path/
https://redis.io/docs/stack/json/path/#jsonpath-examples;https://redis.io/docs/data-types/json/path/
https://redis.io/docs/stack/json/path/#legacy-path-syntax;https://redis.io/docs/data-types/json/path/
https://redis.io/docs/stack/search/indexing_json/;https://redis.io/docs/interact/search-and-query/indexing/
https://redis.io/docs/stack/json/#use-redisjson;https://redis.io/docs/data-types/json/
https://redis.io/docs/stack/search/quick_start/;https://redis.io/docs/get-started/document-database/
https://redis.io/docs/stack/json/#use-redisjson;https://redis.io/docs/data-types/json/
https://redis.io/docs/stack/timeseries/quickstart/;https://redis.io/docs/data-types/timeseries/quickstart/
https://redis.io/docs/stack/bloom/quick_start/;
https://redis.io/docs/interact/programmability/triggers-and-functions/quick_start/;https://redis.io/docs/interact/programmability/triggers-and-functions/quick_start_cli/
https://redis.io/docs/interact/programmability/triggers-and-functions/;
https://redis.io/docs/management/security/acl/#command-categories;
https://redis.io/docs/manual/transactions/;https://redis.io/docs/interact/transactions/
https://redis.io/docs/reference/modules/modules-api-ref/#redismodule_call;
https://redis.io/docs/management/security/acl/#command-categories;
https://redis.io/docs/manual/transactions/;https://redis.io/docs/interact/transactions/
https://redis.io/docs/reference/modules/modules-api-ref/#redismodule_call;
https://redis.io/docs/management/security/acl/#command-categories;
https://redis.io;
https://redis.io/docs/management/persistence/;
https://redis.io/docs/about/;
https://redis.io/topics/modules-intro;https://redis.io/docs/reference/modules/
https://redis.io/docs/management/optimization/latency/#latency-induced-by-transparent-huge-pages;
https://redis.io/topics/replication#partial-resynchronizations-after-restarts-and-failovers;https://redis.io/docs/management/replication/
https://redis.io/community;
https://redis.io/community;
https://redis.io/docs/connect/insight/;
https://redis.io/docs/getting-started/install-stack/;https://redis.io/docs/install/install-stack/
https://redis.io/docs/stack/get-started/install/;https://redis.io/docs/install/install-stack/
https://redis.io/docs/ui/insight/;https://redis.io/docs/connect/insight/
https://redis.io;
https://redis.io/topics/streams-intro;https://redis.io/docs/data-types/streams/
https://redis.io/docs/getting-started/install-stack/;https://redis.io/docs/install/install-stack/
https://redis.io/download/;
https://redis.io/docs/stack/timeseries/;https://redis.io/docs/data-types/timeseries/
https://redis.io/docs/interact/search-and-query/query/vector-search/;
https://redis.io/topics/modules-intro;https://redis.io/docs/reference/modules/
https://redis.io/docs/manual/keyspace-notifications/#events-generated-by-different-commands/?utm_source=redis&utm_medium=app&utm_campaign=redisinsight_triggers_and_functions_guide;
https://redis.io/docs/manual/keyspace-notifications/#events-generated-by-different-commands;
https://redis.io/docs/manual/data-types/streams/;https://redis.io/docs/data-types/streams/
https://redis.io/docs/manual/data-types/streams/#consumer-groups;https://redis.io/docs/data-types/streams/
https://redis.io/docs/manual/keyspace-notifications/#events-generated-by-different-commands/?utm_source=redis&utm_medium=app&utm_campaign=redisinsight_triggers_and_functions_guide;
https://redis.io/topics/modules-intro;https://redis.io/docs/reference/modules/
https://redis.io/topics/command-tips;https://redis.io/docs/reference/command-tips/
https://redis.io/topics/streams-intro;https://redis.io/docs/data-types/streams/
https://redis.io/topics/modules-intro;https://redis.io/docs/reference/modules/
https://redis.io/topics/modules-native-types;https://redis.io/docs/reference/modules/modules-native-types/
https://redis.io/topics/modules-blocking-ops;https://redis.io/docs/reference/modules/modules-blocking-ops/
https://redis.io/topics/notifications;https://redis.io/docs/manual/keyspace-notifications/
https://redis.io/docs/stack/json/;https://redis.io/docs/data-types/json/
https://redis.io/docs/interact/search-and-query/;
https://redis.io/topics/distlock;https://redis.io/docs/manual/patterns/distributed-locks/
https://redis.io/topics/distlock;https://redis.io/docs/manual/patterns/distributed-locks/
